Date,Home,Away,Attendance,Venue
2018-06-03,OL Reign,Orlando Pride,"5,251",UW Medicine Pitch at Memorial Stadium
2018-06-08,NJ/NY Gotham FC,Washington Spirit,"2,188",TBD
2018-06-16,North Carolina Courage,Utah Royals FC,"5,164",WakeMed Soccer Park
2018-06-16,Washington Spirit,OL Reign,"3,509",Maureen Hendricks Field Maryland SoccerPlex
2018-06-16,Orlando Pride,NJ/NY Gotham FC,"4,445",Inter&Co Stadium
2018-06-16,Chicago Red Stars,Portland Thorns FC,"4,093",SeatGeek Stadium
2018-06-22,Houston Dash,Portland Thorns FC,"3,480",Shell Energy Stadium
2018-06-23,OL Reign,North Carolina Courage,"4,032",UW Medicine Pitch at Memorial Stadium
2018-06-23,Washington Spirit,Orlando Pride,"4,005",Maureen Hendricks Field Maryland SoccerPlex
2018-06-23,Chicago Red Stars,Utah Royals FC,"3,317",SeatGeek Stadium
2018-06-27,Orlando Pride,Houston Dash,"3,215",Inter&Co Stadium
2018-06-27,Utah Royals FC,OL Reign,"8,504",America First Field
2018-06-27,Portland Thorns FC,NJ/NY Gotham FC,"18,237",Providence Park
2018-06-30,Orlando Pride,North Carolina Courage,"4,017",Inter&Co Stadium
2018-06-30,OL Reign,Portland Thorns FC,"4,781",UW Medicine Pitch at Memorial Stadium
2018-06-30,Utah Royals FC,NJ/NY Gotham FC,"8,394",America First Field
2018-07-01,Chicago Red Stars,Washington Spirit,"2,858",SeatGeek Stadium
2018-07-04,North Carolina Courage,Chicago Red Stars,"5,295",WakeMed Soccer Park
2018-07-06,Portland Thorns FC,Utah Royals FC,"17,930",Providence Park
2018-07-07,NJ/NY Gotham FC,Chicago Red Stars,"2,846",TBD
2018-07-07,Orlando Pride,Washington Spirit,"4,621",Inter&Co Stadium
2018-07-07,OL Reign,Houston Dash,"3,172",UW Medicine Pitch at Memorial Stadium
2018-07-11,North Carolina Courage,Washington Spirit,"3,409",WakeMed Soccer Park
2018-07-11,Houston Dash,Orlando Pride,"3,308",Shell Energy Stadium
2018-07-11,OL Reign,Utah Royals FC,"3,191",UW Medicine Pitch at Memorial Stadium
2018-07-14,Utah Royals FC,Orlando Pride,"8,761",America First Field
2018-07-14,NJ/NY Gotham FC,North Carolina Courage,"2,376",TBD
2018-07-14,Chicago Red Stars,OL Reign,"3,375",SeatGeek Stadium
2018-07-15,Portland Thorns FC,Houston Dash,"15,327",Providence Park
